team,strength
Florida Gators,0.04181675023311212
Tennessee Volunteers,0.03718753463535319
Kentucky Wildcats,0.032236909275999
Auburn Tigers,0.02799441864126744
Alabama Crimson Tide,0.023986600728804736
Georgia Bulldogs,0.015464610222514026
Duke Blue Devils,0.014979599222540078
Texas A&M Aggies,0.014713969627547669
Ole Miss Rebels,0.014284596694032906
Purdue Boilermakers,0.012630059929019322
Missouri Tigers,0.012449116882965062
Illinois Fighting Illini,0.011489229649849426
St. John's Red Storm,0.011114108584549358
Memphis Tigers,0.010906952821954025
Michigan State Spartans,0.010593649756312613
Kansas Jayhawks,0.01058184402750342
Clemson Tigers,0.010471756212189199
Gonzaga Bulldogs,0.009924386771458422
Marquette Golden Eagles,0.009862008258524665
Boise State Broncos,0.009681724760003731
Houston Cougars,0.009609644821304657
Mississippi State Bulldogs,0.009562375793189973
Wisconsin Badgers,0.009455651682312941
Ohio State Buckeyes,0.009132781941431727
Maryland Terrapins,0.009053659218193478
Michigan Wolverines,0.00886601651808619
San Diego State Aztecs,0.008556568889167483
Iowa State Cyclones,0.008393956318427688
Oregon Ducks,0.008110088179773494
New Mexico Lobos,0.007814201807709762
Arizona Wildcats,0.007424569590901886
UCLA Bruins,0.007253795382246349
Villanova Wildcats,0.007219612582215945
Creighton Bluejays,0.006955600487451349
BYU Cougars,0.00663376454131586
Texas Tech Red Raiders,0.006555429030621883
Arkansas Razorbacks,0.006170909062748367
Saint Mary's Gaels,0.005977860725525588
UConn Huskies,0.005939199524892883
Indiana Hoosiers,0.005897109067887849
Vanderbilt Commodores,0.005737345634090016
Oklahoma Sooners,0.005662047536492934
Utah State Aggies,0.005496076212341867
USC Trojans,0.005437357290732369
Louisville Cardinals,0.005418653220815155
West Virginia Mountaineers,0.0053189569767339556
Dayton Flyers,0.005274087971841061
Texas Longhorns,0.005243639078646584
Baylor Bears,0.005145417432401474
Colorado State Rams,0.005125088167069731
North Carolina Tar Heels,0.005014915434271556
Santa Clara Broncos,0.004960364753041967
Nebraska Cornhuskers,0.004941970081036852
Penn State Nittany Lions,0.004742368805548073
VCU Rams,0.0046997944239618936
Kansas State Wildcats,0.004655975594586992
Arkansas State Red Wolves,0.0046512708197933095
Oregon State Beavers,0.004194236837282501
Northwestern Wildcats,0.004181359014671112
Xavier Musketeers,0.004118608400502338
Cincinnati Bearcats,0.003943324470848682
Saint Joseph's Hawks,0.003937092155555502
Saint Louis Billikens,0.0038839637275096704
Arizona State Sun Devils,0.003589496222168872
San Francisco Dons,0.00354334333127134
South Carolina Gamecocks,0.0035398126792398586
Providence Friars,0.0034498775506031478
Washington Huskies,0.0034199078930903606
Duquesne Dukes,0.003369951317299114
Pittsburgh Panthers,0.0033684867490406728
Georgetown Hoyas,0.0033237733688310372
Wichita State Shockers,0.0032482510950953983
UCF Knights,0.0031653996709504763
St. Bonaventure Bonnies,0.0031635853573667703
UC Irvine Anteaters,0.003163185776774539
Washington State Cougars,0.0031100669068429587
George Mason Patriots,0.0030723445693583065
Bradley Braves,0.003037631479864604
Iowa Hawkeyes,0.00299722341876958
Nevada Wolf Pack,0.0029749071135897714
Liberty Flames,0.0029564598920342917
SMU Mustangs,0.0029532253455990926
George Washington Revolutionaries,0.0029479838394283
Murray State Racers,0.0029290838561277528
TCU Horned Frogs,0.0028781144874319964
Drake Bulldogs,0.0028657949029564176
New Mexico State Aggies,0.002851915165090215
Rutgers Scarlet Knights,0.0028369460354279127
Oklahoma State Cowboys,0.00282684717895868
UIC Flames,0.002810795794468587
Troy Trojans,0.002752204292994259
Georgia Tech Yellow Jackets,0.0027212045159497123
Loyola Chicago Ramblers,0.0026850914975895188
UC San Diego Tritons,0.0026467226615903947
Temple Owls,0.0026235823460579893
Northern Iowa Panthers,0.0026019569658579603
Butler Bulldogs,0.0025822145609452913
Utah Utes,0.0025506569027309166
Colorado Buffaloes,0.002409452967114966
Minnesota Golden Gophers,0.002337124880205537
UNLV Rebels,0.0022910398983726258
Rhode Island Rams,0.002276268057149283
Jacksonville State Gamecocks,0.002242794166389193
UAB Blazers,0.0022052182638918564
Florida State Seminoles,0.0021958577327718235
South Dakota State Jackrabbits,0.0021522410868469862
North Texas Mean Green,0.0021473201401445534
James Madison Dukes,0.002138258108654531
Stanford Cardinal,0.0021327659392060905
Virginia Cavaliers,0.0021293565215568457
DePaul Blue Demons,0.0021216859617232747
Western Kentucky Hilltoppers,0.0021085372138784733
Wake Forest Demon Deacons,0.002085301043675063
Loyola Marymount Lions,0.002068738374234693
Louisiana Tech Bulldogs,0.0020581937396717816
Southern Illinois Salukis,0.0020498193706472937
Illinois State Redbirds,0.0020323855573601245
Seattle U Redhawks,0.0020283007266656953
Kennesaw State Owls,0.0019082660512962843
Charleston Cougars,0.001903234998445784
South Alabama Jaguars,0.0019008119999506473
Florida Atlantic Owls,0.001899986417370838
North Dakota State Bison,0.0018556392181592757
Dartmouth Big Green,0.0018361453677545748
LSU Tigers,0.0018153138543808255
Middle Tennessee Blue Raiders,0.0017897659513441233
McNeese Cowboys,0.0017876357686547357
Grand Canyon Lopes,0.0017679317374982065
Cornell Big Red,0.0017259288363546833
Missouri State Bears,0.001689471639617013
Yale Bulldogs,0.0016892347116912853
Elon Phoenix,0.001687618081719982
Kent State Golden Flashes,0.0016737684460368222
Belmont Bruins,0.001671552285294823
La Salle Explorers,0.001643070622499327
Cal State Northridge Matadors,0.0016270274207254788
Utah Valley Wolverines,0.0016269356359712773
St. Thomas-Minnesota Tommies,0.001623605776044239
Lipscomb Bisons,0.0016084913035273184
UC Riverside Highlanders,0.0015965115646283802
High Point Panthers,0.0015842732358594723
Chattanooga Mocs,0.0015766559131234256
Akron Zips,0.0015755826506068172
Milwaukee Panthers,0.0015414023599254222
Massachusetts Minutemen,0.0015241700694916115
Notre Dame Fighting Irish,0.0015127867793865602
UTSA Roadrunners,0.001512628380279372
Ohio Bobcats,0.0015104817842347008
Wofford Terriers,0.001501609748356576
Marshall Thundering Herd,0.001500126942045441
Rice Owls,0.0014969549406089857
Evansville Purple Aces,0.0014878142642495095
UNC Wilmington Seahawks,0.0014755709768269956
Princeton Tigers,0.0014656720311970696
Miami (OH) RedHawks,0.0014593290672995632
Campbell Fighting Camels,0.001435933633753838
UTEP Miners,0.0014130267999125032
Indiana State Sycamores,0.0013897646721267288
Robert Morris Colonials,0.0013869668982634839
Northeastern Huskies,0.0013824621497439773
East Tennessee State Buccaneers,0.0013821453825995252
Hofstra Pride,0.0013734330177668432
Cleveland State Vikings,0.0013673888810286708
Longwood Lancers,0.001366875002434915
Furman Paladins,0.0013666531398805076
East Carolina Pirates,0.001361725382956377
North Alabama Lions,0.001358923569840729
NC State Wolfpack,0.001347478572002483
Tulane Green Wave,0.0013379439152659018
Davidson Wildcats,0.001335569483753327
Northern Colorado Bears,0.0013349145358641397
UNC Greensboro Spartans,0.0013245758673646642
Columbia Lions,0.0013162130849141058
Syracuse Orange,0.0013070902561004177
Valparaiso Beacons,0.0013030523637228718
Omaha Mavericks,0.0012648852271017147
South Florida Bulls,0.0012648109954026994
California Golden Bears,0.001244079502206753
Radford Highlanders,0.001239554004122841
Samford Bulldogs,0.001238869489233048
William & Mary Tribe,0.001235744710909733
Maine Black Bears,0.0012316703794073647
Pepperdine Waves,0.001224786948595005
